"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/10/2024","5.150","5.100","5.250","5.050","171,62M","1,98%"
"01/09/2024","5.050","5.100","5.300","5.000","997,54M","-0,98%"
"01/08/2024","5.100","4.700","5.225","4.520","1,37B","8,05%"
"01/07/2024","4.720","4.490","4.730","4.380","1,47B","5,83%"
"01/06/2024","4.460","4.330","4.640","4.290","1,05B","3,96%"
"01/05/2024","4.290","5.225","5.275","4.290","1,81B","-16,70%"
"01/04/2024","5.150","5.175","5.325","4.870","1,19B","0,00%"
"01/03/2024","5.150","5.225","5.425","5.100","1,14B","-1,44%"
"01/02/2024","5.225","5.100","5.425","5.050","1,45B","1,95%"
"01/01/2024","5.125","5.625","5.750","4.900","1,89B","-9,29%"
"01/12/2023","5.650","5.450","5.825","5.450","959,70M","4,63%"
"01/11/2023","5.400","5.900","6.000","5.400","968,12M","-6,49%"
"01/10/2023","5.775","6.275","6.350","5.600","1,11B","-7,23%"
"01/09/2023","6.225","6.475","6.650","6.125","762,89M","-3,49%"
"01/08/2023","6.450","6.875","6.900","6.375","719,52M","-5,84%"
"01/07/2023","6.850","6.775","6.950","6.375","816,44M","1,11%"
"01/06/2023","6.775","6.525","7.000","6.500","795,23M","5,04%"
"01/05/2023","6.450","6.775","6.775","6.050","1,22B","-4,44%"
"01/04/2023","6.750","6.050","6.750","5.875","847,68M","12,50%"
"01/03/2023","6.000","6.100","6.175","5.675","814,93M","-1,64%"
"01/02/2023","6.100","6.000","6.275","5.550","755,52M","1,67%"
"01/01/2023","6.000","5.725","6.025","5.200","1,03B","5,26%"
"01/12/2022","5.700","6.100","6.200","5.550","1,25B","-5,79%"
"01/11/2022","6.050","6.650","6.675","6.025","1,04B","-9,02%"
"01/10/2022","6.650","6.650","6.825","6.200","813,95M","0,38%"
"01/09/2022","6.625","6.975","7.300","6.600","992,94M","-5,02%"
"01/08/2022","6.975","6.425","7.050","6.275","955,96M","10,28%"
"01/07/2022","6.325","6.675","6.675","5.825","1,09B","-4,53%"
"01/06/2022","6.625","7.300","7.500","6.500","996,42M","-9,86%"
"01/05/2022","7.350","7.425","7.475","6.625","852,54M","-2,97%"
"01/04/2022","7.575","6.775","7.700","6.625","846,73M","15,21%"
"01/03/2022","6.575","5.800","6.775","5.500","1,43B","13,36%"
"01/02/2022","5.800","5.500","5.800","5.250","1,04B","5,94%"
"01/01/2022","5.475","5.675","5.875","5.375","634,35M","-3,95%"
"01/12/2021","5.700","5.825","6.050","5.600","823,26M","-1,30%"
"01/11/2021","5.775","6.050","6.375","5.750","1,13B","-4,15%"
"01/10/2021","6.025","5.450","6.450","5.400","1,43B","9,55%"
"01/09/2021","5.500","5.225","5.550","5.050","743,62M","5,26%"
"01/08/2021","5.225","4.730","5.300","4.730","826,50M","10,70%"
"01/07/2021","4.720","4.990","5.100","4.640","759,88M","-4,45%"
"01/06/2021","4.940","5.350","5.425","4.710","919,84M","-5,90%"
"01/05/2021","5.250","5.450","5.600","5.025","714,37M","-4,55%"
"01/04/2021","5.500","5.350","5.675","5.025","1,04B","4,27%"
"01/03/2021","5.275","5.500","5.800","5.225","1,38B","-2,31%"
"01/02/2021","5.400","5.850","6.275","5.350","1,29B","-11,48%"
"01/01/2021","6.100","6.100","6.925","5.950","948,76M","1,24%"
"01/12/2020","6.025","5.425","6.275","5.400","1,40B","13,68%"
"01/11/2020","5.300","5.325","6.025","5.200","1,34B","-2,30%"
"01/10/2020","5.425","4.490","5.500","4.490","710,80M","21,64%"
"01/09/2020","4.460","5.175","5.350","4.310","883,51M","-12,55%"
"01/08/2020","5.100","5.100","5.550","4.860","563,33M","-0,97%"
"01/07/2020","5.150","4.800","5.450","4.770","741,74M","7,29%"
"01/06/2020","4.800","4.760","5.250","4.400","964,91M","0,63%"
"01/05/2020","4.770","3.750","4.770","3.530","1,23B","23,90%"
"01/04/2020","3.850","3.880","4.250","3.450","1,27B","-1,28%"
"01/03/2020","3.900","5.700","6.050","3.220","1,54B","-29,41%"
"01/02/2020","5.525","6.275","6.550","5.525","804,06M","-12,99%"
"01/01/2020","6.350","6.925","7.250","6.350","543,49M","-8,30%"
"01/12/2019","6.925","6.500","7.025","6.475","492,23M","6,54%"
"01/11/2019","6.500","6.975","6.975","6.350","597,14M","-6,47%"
"01/10/2019","6.950","6.550","7.000","6.250","530,41M","5,30%"
"01/09/2019","6.600","6.725","6.925","6.375","489,65M","-1,12%"
"01/08/2019","6.675","7.000","7.100","6.250","787,57M","-4,64%"
"01/07/2019","7.000","7.475","7.525","7.000","673,32M","-6,04%"
"01/06/2019","7.450","7.575","7.700","7.225","451,95M","0,00%"
"01/05/2019","7.450","7.600","7.675","6.625","701,73M","-2,30%"
"01/04/2019","7.625","7.375","8.025","7.275","658,28M","4,10%"
"01/03/2019","7.325","7.250","7.400","7.000","934,52M","2,45%"
"01/02/2019","7.150","8.475","8.500","7.150","818,49M","-15,38%"
"01/01/2019","8.450","8.200","8.550","7.950","834,90M","2,74%"
"01/12/2018","8.225","8.700","8.775","8.050","634,14M","-3,80%"
"01/11/2018","8.550","7.925","8.625","7.825","798,43M","8,23%"
"01/10/2018","7.900","7.225","7.900","6.700","623,91M","7,48%"
"01/09/2018","7.350","7.275","7.575","6.600","587,86M","1,38%"
"01/08/2018","7.250","7.150","7.600","6.600","578,05M","1,40%"
"01/07/2018","7.150","6.650","7.150","6.100","483,33M","8,33%"
"01/06/2018","6.600","7.050","7.100","6.275","546,48M","-4,35%"
"01/05/2018","6.900","7.200","7.400","6.525","723,64M","-3,50%"
"01/04/2018","7.150","7.350","7.975","7.050","486,33M","-2,05%"
"01/03/2018","7.300","8.100","8.200","7.050","779,05M","-9,60%"
"01/02/2018","8.075","8.525","8.750","8.000","566,37M","-5,00%"
"01/01/2018","8.500","8.300","8.750","8.000","611,89M","2,41%"
"01/12/2017","8.300","8.175","8.475","7.975","544,26M","4,08%"
"01/11/2017","7.975","8.000","8.600","7.975","540,09M","-0,31%"
"01/10/2017","8.000","7.900","8.525","7.800","495,66M","1,27%"
"01/09/2017","7.900","7.925","7.950","7.625","568,03M","0,32%"
"01/08/2017","7.875","7.975","8.050","7.650","800,04M","-1,25%"
"01/07/2017","7.975","8.950","9.025","7.900","958,35M","-10,64%"
"01/06/2017","8.925","8.750","9.150","8.650","414,37M","2,00%"
"01/05/2017","8.750","9.000","9.050","8.325","665,21M","-2,23%"
"01/04/2017","8.950","8.700","9.350","8.350","487,36M","3,77%"
"01/03/2017","8.625","8.225","8.800","8.100","753,67M","5,18%"
"01/02/2017","8.200","8.000","8.425","7.850","532,45M","3,14%"
"01/01/2017","7.950","8.150","8.250","7.900","404,15M","-3,93%"
"01/12/2016","8.275","7.650","8.275","7.325","539,24M","9,60%"
"01/11/2016","7.550","8.250","8.400","7.300","851,67M","-8,21%"
"01/10/2016","8.225","8.425","8.600","8.075","551,15M","-0,30%"
"01/09/2016","8.250","8.100","8.875","7.700","662,74M","1,23%"
"01/08/2016","8.150","7.900","8.650","7.650","1,06B","5,50%"
"01/07/2016","7.725","7.450","7.825","6.975","787,67M","4,39%"
"01/06/2016","7.400","6.625","7.400","6.500","672,79M","12,12%"
"01/05/2016","6.600","6.775","6.800","6.000","685,04M","-1,86%"
"01/04/2016","6.725","7.350","7.850","6.600","706,45M","-7,24%"
"01/03/2016","7.250","6.825","7.525","6.575","812,66M","6,62%"
"01/02/2016","6.800","6.500","7.150","6.050","934,00M","5,43%"
"01/01/2016","6.450","5.950","6.450","5.700","913,77M","7,50%"
"01/12/2015","6.000","6.050","6.600","5.800","789,76M","1,27%"
"01/11/2015","5.925","5.825","6.850","5.800","729,37M","0,42%"
"01/10/2015","5.900","5.250","6.875","5.075","763,51M","12,92%"
"01/09/2015","5.225","5.900","6.200","4.975","492,52M","-11,81%"
"01/08/2015","5.925","6.475","6.875","5.450","683,21M","-10,90%"
"01/07/2015","6.650","7.125","7.150","6.325","325,11M","-6,01%"
"01/06/2015","7.075","7.300","7.350","6.550","472,45M","-3,08%"
"01/05/2015","7.300","7.000","7.950","6.950","501,54M","6,57%"
"01/04/2015","6.850","8.575","8.575","6.700","760,28M","-20,12%"
"01/03/2015","8.575","7.850","8.575","7.800","879,26M","9,24%"
"01/02/2015","7.850","7.800","8.175","7.450","559,92M","0,00%"
"01/01/2015","7.850","7.475","8.100","7.000","709,83M","5,72%"
"01/12/2014","7.425","7.100","7.475","6.850","524,27M","4,21%"
"01/11/2014","7.125","6.775","7.200","6.700","371,59M","5,17%"
