"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/10/2024","4.860","4.970","5.075","4.850","1,15B","-1,82%"
"01/09/2024","4.950","5.150","5.575","4.950","5,48B","-3,88%"
"01/08/2024","5.150","4.710","5.325","4.510","4,96B","10,28%"
"01/07/2024","4.670","4.630","4.980","4.560","4,96B","1,52%"
"01/06/2024","4.600","4.430","4.640","4.090","5,80B","5,99%"
"01/05/2024","4.340","4.910","5.050","4.310","6,71B","-12,15%"
"01/04/2024","4.940","6.000","6.025","4.680","6,25B","-18,35%"
"01/03/2024","6.050","6.175","6.450","5.950","2,55B","-1,22%"
"01/02/2024","6.125","5.775","6.375","5.725","2,70B","7,46%"
"01/01/2024","5.700","5.650","5.900","5.400","2,67B","-0,44%"
"01/12/2023","5.725","5.275","5.750","5.275","2,64B","8,53%"
"01/11/2023","5.275","4.920","5.450","4.830","2,73B","6,35%"
"01/10/2023","4.960","5.250","5.375","4.920","2,83B","-5,07%"
"01/09/2023","5.225","5.600","5.650","5.175","2,14B","-5,86%"
"01/08/2023","5.550","5.650","5.750","5.450","2,30B","-1,77%"
"01/07/2023","5.650","5.500","5.750","5.375","2,27B","4,15%"
"01/06/2023","5.425","5.600","5.600","5.350","1,84B","-2,69%"
"01/05/2023","5.575","5.175","5.625","5.025","3,14B","9,31%"
"01/04/2023","5.100","4.770","5.275","4.760","1,92B","7,82%"
"01/03/2023","4.730","4.730","4.920","4.640","2,71B","1,28%"
"01/02/2023","4.670","4.630","4.900","4.600","2,61B","1,97%"
"01/01/2023","4.580","4.910","4.920","4.360","3,40B","-7,29%"
"01/12/2022","4.940","5.000","5.025","4.710","3,09B","-0,80%"
"01/11/2022","4.980","4.690","4.980","4.490","3,45B","7,10%"
"01/10/2022","4.650","4.500","4.680","4.260","3,44B","3,56%"
"01/09/2022","4.490","4.320","4.700","4.310","4,05B","3,46%"
"01/08/2022","4.340","4.390","4.470","4.220","3,04B","-0,46%"
"01/07/2022","4.360","4.150","4.430","3.960","2,88B","5,06%"
"01/06/2022","4.150","4.540","4.600","4.120","3,32B","-10,37%"
