Code,Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
BBCA,2024-01-10,10.475,10.400,10.550,10.325,265930000.0,1.45
BBCA,2024-01-09,10.325,10.375,10.950,10.125,1630000000.0,0.0
BBCA,2024-01-08,10.325,10.200,10.500,9.875,1340000000.0,0.49
BBCA,2024-01-07,10.275,9.850,10.425,9.800,1380000000.0,3.53
BBCA,2024-01-06,9.925,9.350,9.975,9.050,1470000000.0,7.3
BBCA,2024-01-05,9.250,9.900,9.900,8.775,2440000000.0,-5.61
BBCA,2024-01-04,9.800,10.075,10.100,9.250,1980000000.0,-2.73
BBCA,2024-01-03,10.075,9.900,10.400,9.750,1500000000.0,2.03
BBCA,2024-01-02,9.875,9.650,10.025,9.525,1530000000.0,3.4
BBCA,2024-01-01,9.550,9.400,9.775,9.300,1510000000.0,1.6
BBCA,2023-01-12,9.400,8.925,9.450,8.675,1730000000.0,4.74
BBCA,2023-01-11,8.975,8.750,9.075,8.600,1440000000.0,2.57
BBCA,2023-01-10,8.750,8.900,9.250,8.700,1550000000.0,-0.85
BBCA,2023-01-09,8.825,9.200,9.275,8.825,1280000000.0,-3.81
BBCA,2023-01-08,9.175,9.175,9.450,9.100,1450000000.0,0.55
BBCA,2023-01-07,9.125,9.025,9.400,9.025,1320000000.0,-0.27
BBCA,2023-01-06,9.150,9.150,9.325,8.950,1030000000.0,1.1
BBCA,2023-01-05,9.050,9.100,9.325,8.700,1880000000.0,0.0
BBCA,2023-01-04,9.050,8.825,9.200,8.650,1060000000.0,3.43
BBCA,2023-01-03,8.750,8.725,8.900,8.250,1840000000.0,0.0
BBCA,2023-01-02,8.750,8.575,8.950,8.400,1280000000.0,3.24
BBCA,2023-01-01,8.475,8.575,8.850,8.000,1850000000.0,-0.88
BBCA,2022-01-12,8.550,9.275,9.350,8.350,1920000000.0,-8.06
BBCA,2022-01-11,9.300,9.000,9.400,8.550,1920000000.0,5.68
BBCA,2022-01-10,8.800,8.450,8.900,8.125,1680000000.0,2.92
BBCA,2022-01-09,8.550,8.150,8.875,8.125,2370000000.0,4.27
BBCA,2022-01-08,8.200,7.350,8.275,7.350,2040000000.0,11.56
BBCA,2022-01-07,7.350,7.300,7.475,7.000,1420000000.0,1.38
BBCA,2022-01-06,7.250,7.625,7.675,7.250,1990000000.0,-6.45
BBCA,2022-01-05,7.750,7.875,7.900,7.250,2610000000.0,-4.62
BBCA,2022-01-04,8.125,8.075,8.250,7.625,1710000000.0,1.88
BBCA,2022-01-03,7.975,8.000,8.300,7.650,2250000000.0,-0.93
BBCA,2022-01-02,8.050,7.775,8.175,7.650,1310000000.0,5.57
BBCA,2022-01-01,7.625,7.325,7.950,7.300,1470000000.0,4.45
BBCA,2021-01-12,7.300,7.275,7.525,7.275,1280000000.0,0.34
BBCA,2021-01-11,7.275,7.550,7.750,7.175,1540000000.0,-2.68
BBCA,2021-01-10,7.475,6.900,8.250,6.710,2020000000.0,6.79
BBCA,2021-01-09,7.000,6.550,7.000,6.410,1470000000.0,6.87
BBCA,2021-01-08,6.550,6.060,6.760,5.905,1770000000.0,9.72
BBCA,2021-01-07,5.970,6.060,6.190,5.960,1220000000.0,-0.91
BBCA,2021-01-06,6.025,6.500,6.620,6.000,1580000000.0,-5.49
BBCA,2021-01-05,6.375,6.480,6.500,6.260,1680000000.0,-0.47
BBCA,2021-01-04,6.405,6.215,6.460,5.980,1970000000.0,3.06
BBCA,2021-01-03,6.215,6.830,7.160,6.145,2370000000.0,-7.38
BBCA,2021-01-02,6.710,6.760,7.055,6.595,1410000000.0,-0.74
BBCA,2021-01-01,6.760,6.800,7.380,6.705,1830000000.0,-0.15
BBCA,2020-01-12,6.770,6.220,7.000,6.220,2010000000.0,9.11
BBCA,2020-01-11,6.205,5.760,6.650,5.720,2530000000.0,7.17
BBCA,2020-01-10,5.790,5.485,5.900,5.440,1460000000.0,6.83
BBCA,2020-01-09,5.420,6.280,6.560,5.390,2820000000.0,-13.63
BBCA,2020-01-08,6.275,6.220,6.600,5.825,1100000000.0,0.56
BBCA,2020-01-07,6.240,5.700,6.265,5.675,1500000000.0,9.57
BBCA,2020-01-06,5.695,5.260,5.995,5.240,2220000000.0,9.73
BBCA,2020-01-05,5.190,5.150,5.400,4.680,2380000000.0,0.39
BBCA,2020-01-04,5.170,5.560,6.100,4.800,2550000000.0,-6.43
BBCA,2020-01-03,5.525,6.290,6.540,4.325,3770000000.0,-12.16
BBCA,2020-01-02,6.290,6.480,6.820,6.035,2120000000.0,-2.93
BBCA,2020-01-01,6.480,6.695,7.060,6.480,1550000000.0,-3.07
BBCA,2019-01-12,6.685,6.280,6.800,6.270,1280000000.0,6.45
BBCA,2019-01-11,6.280,6.300,6.380,6.210,1300000000.0,-0.16
BBCA,2019-01-10,6.290,6.010,6.325,5.950,1250000000.0,3.62
BBCA,2019-01-09,6.070,6.100,6.105,5.780,1260000000.0,-0.49
BBCA,2019-01-08,6.100,6.190,6.270,5.765,1530000000.0,-1.45
BBCA,2019-01-07,6.190,5.995,6.290,5.865,1050000000.0,3.25
BBCA,2019-01-06,5.995,6.000,6.190,5.790,1180000000.0,3.01
BBCA,2019-01-05,5.820,5.800,5.895,5.140,1700000000.0,1.22
BBCA,2019-01-04,5.750,5.550,5.805,5.450,1150000000.0,3.6
BBCA,2019-01-03,5.550,5.565,5.600,5.425,1170000000.0,0.63
BBCA,2019-01-02,5.515,5.680,5.750,5.335,1490000000.0,-2.13
BBCA,2019-01-01,5.635,5.200,5.640,5.115,1860000000.0,8.37
BBCA,2018-01-12,5.200,5.215,5.395,4.980,1700000000.0,-0.19
BBCA,2018-01-11,5.210,4.770,5.240,4.670,1940000000.0,10.15
BBCA,2018-01-10,4.730,4.800,4.840,4.435,1440000000.0,-2.07
BBCA,2018-01-09,4.830,5.010,5.040,4.720,1450000000.0,-2.62
BBCA,2018-01-08,4.960,4.680,5.095,4.605,1710000000.0,6.55
BBCA,2018-01-07,4.655,4.330,4.725,4.120,1440000000.0,8.38
BBCA,2018-01-06,4.295,4.590,4.630,4.165,1300000000.0,-5.4
BBCA,2018-01-05,4.540,4.420,4.610,4.295,1730000000.0,2.71
BBCA,2018-01-04,4.420,4.690,4.730,4.210,1350000000.0,-5.15
BBCA,2018-01-03,4.660,4.620,4.760,4.505,1850000000.0,0.54
BBCA,2018-01-02,4.635,4.570,4.940,4.570,1470000000.0,1.98
BBCA,2018-01-01,4.545,4.380,4.690,4.265,1690000000.0,3.77
BBCA,2017-01-12,4.380,4.165,4.550,4.130,1400000000.0,7.62
BBCA,2017-01-11,4.070,4.200,4.325,4.070,1780000000.0,-2.63
BBCA,2017-01-10,4.180,4.110,4.275,4.010,1670000000.0,2.96
BBCA,2017-01-09,4.060,3.795,4.075,3.735,1490000000.0,7.12
BBCA,2017-01-08,3.790,3.775,3.840,3.700,1110000000.0,1.34
BBCA,2017-01-07,3.740,3.680,3.800,3.615,1520000000.0,3.03
BBCA,2017-01-06,3.630,3.485,3.665,3.465,1890000000.0,5.83
BBCA,2017-01-05,3.430,3.550,3.710,3.360,3120000000.0,-3.38
BBCA,2017-01-04,3.550,3.315,3.600,3.315,1790000000.0,7.25
BBCA,2017-01-03,3.310,3.080,3.400,3.070,2250000000.0,7.12
BBCA,2017-01-02,3.090,3.100,3.140,3.000,1280000000.0,0.98
BBCA,2017-01-01,3.060,3.100,3.175,2.990,1060000000.0,-1.29
BBCA,2016-01-12,3.100,2.860,3.110,2.825,1930000000.0,8.39
BBCA,2016-01-11,2.860,3.100,3.130,2.790,2330000000.0,-7.89
BBCA,2016-01-10,3.105,3.190,3.240,3.070,1530000000.0,-1.11
BBCA,2016-01-09,3.140,2.970,3.200,2.960,2110000000.0,4.32
BBCA,2016-01-08,3.010,2.875,3.100,2.875,2500000000.0,4.15
BBCA,2016-01-07,2.890,2.675,2.935,2.640,2430000000.0,8.44
BBCA,2016-01-06,2.665,2.620,2.690,2.525,1820000000.0,2.5
BBCA,2016-01-05,2.600,2.620,2.660,2.575,1600000000.0,-0.38
BBCA,2016-01-04,2.610,2.660,2.690,2.555,1540000000.0,-1.88
BBCA,2016-01-03,2.660,2.695,2.785,2.610,1890000000.0,-1.3
BBCA,2016-01-02,2.695,2.620,2.715,2.575,2130000000.0,2.86
BBCA,2016-01-01,2.620,2.635,2.710,2.550,1880000000.0,-1.5
BBCA,2015-01-12,2.660,2.540,2.760,2.540,1240000000.0,7.47
BBCA,2015-01-11,2.475,2.560,2.750,2.475,1480000000.0,-4.07
BBCA,2015-01-10,2.580,2.460,2.755,2.375,1730000000.0,5.09
BBCA,2015-01-09,2.455,2.570,2.570,2.260,1290000000.0,-4.84
